2020-06-03,3,19
2020-06-03,2803,13300
2020-06-04,6,24
2020-06-04,2798,11641
2020-06-05,0,1
2020-06-05,2374,9908
2020-06-06,2,12
2020-06-06,2156,9565
2020-06-07,3,5
2020-06-07,2763,11730
2020-06-08,2,10
2020-06-08,2606,12086
2020-06-09,3,26
2020-06-09,2485,13202
2020-06-10,4,26
2020-06-10,2418,11202
2020-06-11,3,10
2020-06-11,1992,10317
2020-06-12,0,14
2020-06-12,1841,10093
2020-06-13,2,21
2020-06-13,1863,8716
2020-06-14,3,7
2020-06-14,1787,10099
2020-06-15,6,44
2020-06-15,2260,13325
2020-06-16,6,40
2020-06-16,3293,15935
2020-06-17,3,43
2020-06-17,3978,18754
2020-06-18,7,45
2020-06-18,3328,16077
2020-06-19,0,15
2020-06-19,2838,13904
2020-06-20,1,9
2020-06-20,2542,9610
2020-06-21,4,12
2020-06-21,5097,14644
2020-06-22,1,6
2020-06-22,4201,14581
2020-06-23,1,12
2020-06-23,3389,13480
2020-06-24,4,25
2020-06-24,3401,12163
2020-06-25,4,33
2020-06-25,3012,10946
2020-06-26,3,20
2020-06-26,2459,9401
2020-06-27,4,20
2020-06-27,2576,9227
2020-06-28,7,22
2020-06-28,2673,10129
2020-06-29,6,24
2020-06-29,2916,13436
2020-06-30,16,56
2020-06-30,3146,13336
2020-07-01,4,21
2020-07-01,2887,12256
2020-07-02,1,11
2020-07-02,2395,10736
2020-07-03,9,25
2020-07-03,2749,11103
2020-07-04,3,16
2020-07-04,3496,10844
2020-07-05,4,12
2020-07-05,3834,11391
2020-07-06,778,1923
2020-07-06,3699,11898
2020-07-07,692,2427
2020-07-07,2887,11415
2020-07-08,675,2140
2020-07-08,2357,8973
2020-07-09,649,1871
2020-07-09,2000,8159
2020-07-10,337,1644
2020-07-10,5610,14544
2020-07-11,1220,2619
2020-07-11,3146,8754
2020-07-12,347,987
2020-07-12,2769,7876
2020-07-13,679,1681
2020-07-13,2653,8733
2020-07-14,870,2370
2020-07-14,3521,10835
2020-07-15,494,2136
2020-07-15,2443,8663
2020-07-16,451,2056
2020-07-16,2338,9592
2020-07-17,499,1805
2020-07-17,2921,9296
2020-07-18,411,1161
2020-07-18,2194,7078
2020-07-19,574,1546
2020-07-19,2004,7506
2020-07-20,279,1425
2020-07-20,2806,9690
2020-07-21,685,2025
2020-07-21,5595,14279
2020-07-22,868,2624
2020-07-22,5609,15705
2020-07-23,958,2464
2020-07-23,4608,12055
2020-07-24,692,2045
2020-07-24,3107,9898
2020-07-25,614,1332
2020-07-25,2729,7025
2020-07-26,299,1119
2020-07-26,2375,6673
2020-07-27,489,1555
2020-07-27,2121,9027
2020-07-28,559,1696
2020-07-28,2052,7405
2020-07-29,597,1801
2020-07-29,2182,7936
2020-07-30,490,1593
2020-07-30,2554,8255
2020-07-31,581,2217
2020-07-31,2606,9435
2020-08-01,455,1585
2020-08-01,1972,6407
2020-08-02,278,1186
2020-08-02,1868,6324
2020-08-03,359,1492
2020-08-03,2457,7909
2020-08-04,411,1271
2020-08-04,1947,6855
2020-08-05,420,1445
2020-08-05,1367,5910
2020-08-06,387,1249
2020-08-06,1599,6181
2020-08-07,293,1197
2020-08-07,2008,7181
2020-08-08,426,1215
2020-08-08,1585,5371
2020-08-09,484,1158
2020-08-09,1454,4994
2020-08-10,328,1221
2020-08-10,1670,6594
2020-08-11,357,1311
2020-08-11,1828,7720
2020-08-12,356,1486
2020-08-12,1626,6595
2020-08-13,303,1506
2020-08-13,1873,8721
2020-08-14,431,1558
2020-08-14,1895,6611
2020-08-15,344,1016
2020-08-15,1288,4197
2020-08-16,290,924
2020-08-16,1255,4368
2020-08-17,267,1074
2020-08-17,1716,7684
2020-08-18,425,1612
2020-08-18,2442,12379
2020-08-19,297,1337
2020-08-19,1647,7713
2020-08-20,292,1314
2020-08-20,1227,5519
2020-08-21,228,1183
2020-08-21,1153,5570
2020-08-22,265,929
2020-08-22,1071,4925
2020-08-23,301,865
2020-08-23,2304,6356
2020-08-24,333,1252
2020-08-24,1492,6302
2020-08-25,545,1637
2020-08-25,1474,5939
2020-08-26,617,1695
2020-08-26,1381,5551
2020-08-27,327,1480
2020-08-27,1321,6647
2020-08-28,451,1814
2020-08-28,1258,6130
2020-08-29,246,965
2020-08-29,1116,4932
2020-08-30,263,961
2020-08-30,1233,4483
2020-08-31,388,1066
2020-08-31,1377,6189
2020-09-01,282,1145
2020-09-01,1238,5341
2020-09-02,325,1147
2020-09-02,1624,5685
2020-09-03,262,972
2020-09-03,1198,4990
2020-09-04,238,874
2020-09-04,994,4163
2020-09-05,230,789
2020-09-05,1072,4593
2020-09-06,168,631
2020-09-06,934,3860
2020-09-07,213,765
2020-09-07,1500,5806
2020-09-08,389,1342
2020-09-08,2435,8220
2020-09-09,309,1130
2020-09-09,1697,7850
2020-09-10,542,2520
2020-09-10,2275,9426
2020-09-11,340,1426
2020-09-11,2144,6951
2020-09-12,760,1534
2020-09-12,2823,6507
2020-09-13,569,1382
