date,neg_count,total
2020-09-15,4256,10778
2020-09-16,10459,20213
2020-09-17,6771,14919
2020-09-18,4778,11475
2020-09-19,2469,5744
2020-09-20,1905,5176
2020-09-21,2114,7144
2020-09-22,3560,11535
2020-09-23,3564,10113
2020-09-24,2263,6590
2020-09-25,1554,5736
2020-09-26,1673,5615
2020-09-27,1362,4669
2020-09-28,1476,5373
2020-09-29,2221,6751
2020-09-30,1835,7473
2020-10-01,1292,5387
2020-10-02,4173,10347
2020-10-03,3654,9104
2020-10-04,3423,8313
2020-10-05,2285,6973
2020-10-06,2763,7761
2020-10-07,2794,8763
2020-10-08,3159,11183
2020-10-09,3226,9203
2020-10-10,2704,7409
2020-10-11,2393,6255
2020-10-12,2047,8275
2020-10-13,2156,7313
2020-10-14,1528,5854
2020-10-15,1541,5658
2020-10-16,1639,5869
2020-10-17,1978,5803
2020-10-18,2846,7178
2020-10-19,3180,10545
2020-10-20,2800,7497
2020-10-21,3164,9672
2020-10-22,2552,7796
2020-10-23,2496,8715
2020-10-24,1578,6788
2020-10-25,1612,6304
2020-10-26,1701,7342
2020-10-27,1528,6574
2020-10-28,1470,6199
2020-10-29,1534,6226
2020-10-30,1527,5796
2020-10-31,1486,5754
